,co2_emissions_tonnes_per_person,poverty_percent_people_below_550_a_day,sp_dyn_le00_in,gini,at_least_basic_sanitation_overall_access_percent,energy_use_per_person,sugar_per_person_g_per_day,gdppercapita_us_inflation_adjusted,smoking_adults_percent_of_population_over_age_15,hepb3_immunized_percent_of_one_year_olds,suicide_per_100000_people,working_hours_per_week,literacy_rate_adult_total_percent_of_people_ages_15_and_above,corruption_perception_index_cpi,government_health_spending_per_person_us,food_supply_kilocalories_per_person_and_day,long_term_unemployment_rate_percent,total_health_spending_per_person_us,alcohol_consumption_per_adult_15plus_litres,at_least_basic_water_source_overall_access_percent
Saudi Arabia,19.5,,74.7,40.0,100.0,6940.0,86.8,20800.0,14.7,98.0,,44.1,87.2,49.0,427.0,3260.0,1.45,680.0,0.34,100.0
Senegal,0.609,88.1,67.5,40.3,48.4,272.0,50.0,1130.0,10.7,83.0,,43.2,49.7,45.0,32.5,2460.0,0.475,58.5,0.51,75.2
Serbia,4.24,,76.1,34.1,94.6,1860.0,77.1,5990.0,42.3,89.0,10.2,41.3,98.0,41.0,338.0,2730.0,3.72,546.0,12.2,91.2
Seychelles,5.31,6.6,74.3,46.8,100.0,2410.0,,14000.0,21.2,99.0,6.76,42.5,91.8,60.0,339.0,,,369.0,12.1,96.3
Sierra Leone,0.185,94.7,52.2,34.0,14.5,,16.5,462.0,,84.0,,45.4,43.3,30.0,4.82,2400.0,0.722,42.5,9.48,58.1
Singapore,10.3,,82.9,40.9,100.0,5120.0,,55200.0,,96.0,7.09,43.2,95.9,84.0,629.0,,,1730.0,1.54,100.0
Slovak Republic,5.65,3.0,77.2,26.5,98.9,3000.0,136.0,19900.0,30.9,99.0,8.07,38.5,,50.0,930.0,2940.0,3.21,1410.0,13.3,97.9
Slovenia,6.19,0.2,81.2,25.4,99.1,3170.0,75.1,25700.0,26.5,,14.3,38.1,99.7,61.0,1590.0,3170.0,2.05,2150.0,14.9,99.5
Solomon Islands,0.35,84.7,71.0,37.1,31.3,130.0,13.1,1520.0,,88.0,,,,39.0,99.6,2390.0,,107.0,1.37,64.0
Somalia,0.045,,56.7,48.0,16.2,,,,,,,,,9.0,1.72,,,3.86,0.5,40.0
South Africa,8.98,57.1,63.4,63.0,73.1,2700.0,101.0,7520.0,18.4,76.0,0.966,43.0,93.0,43.0,286.0,3020.0,8.57,649.0,10.2,84.7
South Korea,11.7,1.2,82.6,31.6,99.9,5410.0,105.0,26200.0,29.7,99.0,20.2,42.8,,54.0,848.0,3330.0,0.28600000000000003,1440.0,19.1,99.6
South Sudan,0.13,84.8,57.3,45.0,10.4,60.7,,,,,,,,12.0,,,,,,50.4
Spain,5.03,3.2,83.3,36.2,99.9,2570.0,85.6,32400.0,33.7,97.0,5.62,37.1,97.8,57.0,2100.0,3170.0,4.98,2880.0,11.8,99.9
Sri Lanka,0.892,39.0,75.5,39.8,94.2,516.0,73.4,3840.0,16.5,99.0,35.9,41.6,91.2,38.0,31.3,2540.0,1.16,70.0,0.81,92.3
St. Kitts and Nevis,4.3,,71.3,40.0,91.6,1670.0,133.0,15800.0,,98.0,5.49,,,,405.0,2490.0,,669.0,10.6,99.0
St. Lucia,2.31,86.0,75.7,42.6,90.9,765.0,106.0,8550.0,20.6,97.0,10.1,,,55.0,282.0,2600.0,,465.0,12.1,98.2
St. Vincent and the Grenadines,1.91,,73.3,40.0,87.2,642.0,121.0,6740.0,,96.0,2.92,,,58.0,240.0,2970.0,,278.0,4.99,95.1
Sudan,0.40700000000000003,73.2,64.7,35.4,34.6,381.0,96.1,1960.0,,93.0,,,71.9,16.0,25.0,2340.0,,83.9,2.56,58.9
Suriname,3.63,55.7,71.5,61.0,79.2,1260.0,121.0,8040.0,,86.0,6.93,,94.7,41.0,235.0,2750.0,,492.0,6.56,94.7
Swaziland,0.929,82.0,,51.5,58.0,372.0,95.3,3910.0,8.9,91.0,,,87.8,39.0,129.0,2330.0,1.96,203.0,5.05,67.6
Sweden,4.48,1.0,82.3,29.0,99.3,5100.0,115.0,56900.0,22.0,,10.1,35.9,,84.0,3820.0,3180.0,1.28,4710.0,9.5,100.0
Switzerland,4.29,0.2,83.6,32.3,99.9,2960.0,166.0,76700.0,26.5,,9.9,36.5,,85.0,4610.0,3390.0,1.41,7810.0,11.4,100.0
Syria,1.6,50.4,71.0,35.2,92.9,563.0,,,,66.0,,,84.1,14.0,44.4,,,96.6,1.49,96.7
Tajikistan,0.62,54.2,71.2,34.0,95.5,335.0,51.9,1020.0,,96.0,2.95,41.5,99.7,21.0,13.1,2200.0,0.478,49.1,3.39,74.1
Tanzania,0.221,93.1,66.3,37.8,23.5,475.0,28.0,901.0,14.6,90.0,,41.4,67.8,36.0,20.8,2210.0,0.726,30.9,7.86,50.1
